query,group,time,follower 1,leader,follower 2
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:32:40.000Z,29.44696999,26.56237984,12.73007011
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:32:50.000Z,31.21113014,26.57266998,19.78890991
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:32:55.000Z,29.68091965,26.57781982,21.08667946
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:33:05.000Z,26.62050056,29.09663963,23.68222046
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:33:10.000Z,27.67897034,30.35605049,20.21079063
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:33:20.000Z,29.79590988,19.6865406,13.26793957
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:33:25.000Z,30.27467918,14.35177994,16.28071976
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:33:35.000Z,31.23224068,23.59769058,22.30628014
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:33:40.000Z,26.02819061,28.22064018,21.84297943
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:33:50.000Z,15.62008953,19.7582798,20.91637039
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:33:55.000Z,16.54833031,15.52709961,15.22525024
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:34:05.000Z,18.40480995,18.8339901,3.842991114
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:34:10.000Z,18.27392006,20.48743057,8.385951042
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:34:20.000Z,18.01213074,10.98600006,17.47187042
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:34:25.000Z,17.75382996,6.23527813,17.88887024
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:34:35.000Z,17.2372303,5.412427902,18.72287941
